111122 11 1 1 2 2 4800 5286.875 
121933 12 1 9 3 3 3650 6204.27083333333 
39825 3 9 8 2 5 4550 5315.77551020408 
144552 14 4 5 5 2 2700 8860.08 
113745 11 3 7 4 5 3650 5392.4347826087 
115733 11 5 7 3 3 3800 4911.85454545455 
83313 8 3 3 1 3 5000 4602.87272727273 
109132 10 9 1 3 2 4000 4546.06666666667 
65944 6 5 9 4 4 3850 4615.37931034483 
39241 3 9 2 4 1 4800 5231.83333333333 
48552 4 8 5 5 2 4150 5228.56603773585 
76631 7 6 6 3 1 4800 5362.34615384615 
58911 5 8 9 1 1 5050 4737.77551020408 
66741 6 6 7 4 1 4050 5318.44230769231 
135331 13 5 3 3 1 3600 6778.72222222222 
144723 14 4 7 2 3 3000 8324.04545454545 
63334 6 3 3 3 4 4600 4832.95348837209 
88311 8 8 3 1 1 4400 5125.4693877551 
114545 11 4 5 4 5 3650 5287.42857142857 
89833 8 9 8 3 3 3550 5237.95833333333 
61535 6 1 5 3 5 4800 4200.80434782609 
92822 9 2 8 2 2 4250 5031.78571428571 
29941 2 9 9 4 1 4900 4750.97826086957 
144545 14 4 5 4 5 2650 8001.28 
85744 8 5 7 4 4 4000 5204.9298245614 
