111122 11 1 1 2 2 4800 6871.51111111111 
121933 12 1 9 3 3 3650 7512.91304347826 
39825 3 9 8 2 5 4550 7212.60674157303 
144552 14 4 5 5 2 2700 8623.05405405405 
113745 11 3 7 4 5 3650 6789.58536585366 
115733 11 5 7 3 3 3800 6856.25 
83313 8 3 3 1 3 5000 6189.50442477876 
109132 10 9 1 3 2 4000 6506.36170212766 
65944 6 5 9 4 4 3850 5483.36923076923 
39241 3 9 2 4 1 4800 6506.70707070707 
48552 4 8 5 5 2 4150 5592.48837209302 
76631 7 6 6 3 1 4800 5606.72727272727 
58911 5 8 9 1 1 5050 5430.453125 
66741 6 6 7 4 1 4050 5410.248 
135331 13 5 3 3 1 3600 8526.78 
144723 14 4 7 2 3 3000 9155.53846153846 
63334 6 3 3 3 4 4600 4998.64885496183 
88311 8 8 3 1 1 4400 6246.30555555556 
114545 11 4 5 4 5 3650 6950.12790697674 
89833 8 9 8 3 3 3550 6668.01020408163 
61535 6 1 5 3 5 4800 5060.76 
92822 9 2 8 2 2 4250 6097.15315315315 
29941 2 9 9 4 1 4900 6321.85294117647 
144545 14 4 5 4 5 2650 9315.54285714286 
85744 8 5 7 4 4 4000 6070.69026548673 
149135 14 9 1 3 5 2300 9935.19444444445 
141623 14 1 6 2 3 3500 10244.4705882353 
104324 10 4 3 2 4 4600 6601.43434343434 
149942 14 9 9 4 2 1850 9930.26315789474 
105935 10 5 9 3 5 4000 6693.8947368421 
64835 6 4 8 3 5 4100 5094.88372093023 
68155 6 8 1 5 5 3600 5756.77049180328 
76723 7 6 7 2 3 4800 5082.56349206349 
85423 8 5 4 2 3 4550 6100.14285714286 
132845 13 2 8 4 5 3200 8122.75 
139825 13 9 8 2 5 2550 8734.73076923077 
83112 8 3 1 1 2 5150 5494.64705882353 
124155 12 4 1 5 5 3150 7232.84507042254 
49632 4 9 6 3 2 4250 6716.98863636364 
33845 3 3 8 4 5 5050 4758.53548387097 
104935 10 4 9 3 5 4050 6986.03125 
69515 6 9 5 1 5 3950 6959.05208333333 
67954 6 7 9 5 4 3400 5707.94957983193 
96425 9 6 4 2 5 3750 6264.87628865979 
47431 4 7 4 3 1 4700 4777.77124183007 
74822 7 4 8 2 2 4950 5530.30769230769 
101411 10 1 4 1 1 5300 6166.34653465346 
105732 10 5 7 3 2 4350 6561.75757575758 
94834 9 4 8 3 4 3650 6340.9693877551 
95511 9 5 5 1 1 4350 6177.46153846154 
